"ruta";"fecha";"vuelo";"dia_sem";"sem_anio";"asientos";"pasajeros";"hora_despegue";"origen";"destino";"pasajero_conexion";"pasajero_negocio";"pasajeros_noshow"
"1";"LIMA - SAO PAULO";"2016-03-20";2417;7;12;174;136;"19:00:00";"SAO";"LIM";101;4;3
"2";"LIMA - SAO PAULO";"2016-03-13";2417;7;11;126;128;"19:00:00";"SAO";"LIM";124;15;0
"3";"LIMA - SAO PAULO";"2016-03-06";2417;7;10;126;123;"19:00:00";"SAO";"LIM";93;10;2
"4";"LIMA - SAO PAULO";"2016-03-26";2417;6;13;126;105;"19:00:00";"SAO";"LIM";80;4;5
"5";"LIMA - SAO PAULO";"2016-03-19";2417;6;12;126;120;"19:00:00";"SAO";"LIM";107;7;2
"6";"LIMA - SAO PAULO";"2016-03-12";2417;6;11;126;109;"19:00:00";"SAO";"LIM";85;4;11
"7";"LIMA - SAO PAULO";"2016-03-05";2417;6;10;126;122;"19:00:00";"SAO";"LIM";91;8;7
"8";"LIMA - SAO PAULO";"2016-03-25";2417;5;13;126;109;"19:00:00";"SAO";"LIM";95;9;4
"9";"LIMA - SAO PAULO";"2016-03-18";2417;5;12;126;122;"19:00:00";"SAO";"LIM";109;6;8
"10";"LIMA - SAO PAULO";"2016-03-11";2417;5;11;126;123;"19:00:00";"SAO";"LIM";88;12;4
"11";"LIMA - SAO PAULO";"2016-03-04";2417;5;10;126;126;"19:00:00";"SAO";"LIM";119;5;1
"12";"LIMA - SAO PAULO";"2016-03-24";2417;4;13;126;118;"19:00:00";"SAO";"LIM";105;11;7
"13";"LIMA - SAO PAULO";"2016-03-17";2417;4;12;126;124;"19:00:00";"SAO";"LIM";117;8;1
"14";"LIMA - SAO PAULO";"2016-03-10";2417;4;11;126;112;"19:00:00";"SAO";"LIM";97;15;6
"15";"LIMA - SAO PAULO";"2016-03-03";2417;4;10;126;117;"19:00:00";"SAO";"LIM";96;14;5
"16";"LIMA - SAO PAULO";"2016-03-23";2417;3;13;126;112;"19:00:00";"SAO";"LIM";94;8;3
"17";"LIMA - SAO PAULO";"2016-03-16";2417;3;12;126;122;"19:00:00";"SAO";"LIM";105;13;1
"18";"LIMA - SAO PAULO";"2016-03-09";2417;3;11;126;126;"19:00:00";"SAO";"LIM";114;61;0
"19";"LIMA - SAO PAULO";"2016-03-02";2417;3;10;126;106;"19:00:00";"SAO";"LIM";97;7;4
"20";"LIMA - SAO PAULO";"2016-03-22";2417;2;13;126;115;"19:00:00";"SAO";"LIM";88;3;1
